run_id,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p99_latency_ms,total_requests,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,autocannon_error_log,error_message
http_s01_r05_node_c050,1,40,5,node,50,1,10,30,10,20260808,2026-08-03T14:56:53.386571+00:00,2026-08-03T14:57:35.023174+00:00,success,15573.2,2.86,2,6,467195,0,0,0,0,data/raw/http/session_01/http_s01_r05_node_c050.json,results/logs/http_final/session_01/http_s01_r05_node_c050-server-output.log,results/logs/http_final/session_01/http_s01_r05_node_c050-server-error.log,results/logs/http_final/session_01/http_s01_r05_node_c050-autocannon-error.log,
http_s01_r05_bun_c050,1,41,5,bun,50,1,10,30,10,20260808,2026-08-03T14:57:45.038865+00:00,2026-08-03T14:58:26.689446+00:00,success,19052.41,2.1,2,6,571556,0,0,0,0,data/raw/http/session_01/http_s01_r05_bun_c050.json,results/logs/http_final/session_01/http_s01_r05_bun_c050-server-output.log,results/logs/http_final/session_01/http_s01_r05_bun_c050-server-error.log,results/logs/http_final/session_01/http_s01_r05_bun_c050-autocannon-error.log,
http_s01_r05_node_c100,1,42,5,node,100,1,10,30,10,20260808,2026-08-03T14:58:36.706526+00:00,2026-08-03T14:59:18.357215+00:00,success,15792.94,5.76,5,13,473771,0,0,0,0,data/raw/http/session_01/http_s01_r05_node_c100.json,results/logs/http_final/session_01/http_s01_r05_node_c100-server-output.log,results/logs/http_final/session_01/http_s01_r05_node_c100-server-error.log,results/logs/http_final/session_01/http_s01_r05_node_c100-autocannon-error.log,
http_s01_r05_deno_c010,1,43,5,deno,10,1,10,30,10,20260808,2026-08-03T14:59:28.370783+00:00,2026-08-03T15:00:09.990612+00:00,success,20957.87,0.03,0,1,628733,0,0,0,0,data/raw/http/session_01/http_s01_r05_deno_c010.json,results/logs/http_final/session_01/http_s01_r05_deno_c010-server-output.log,results/logs/http_final/session_01/http_s01_r05_deno_c010-server-error.log,results/logs/http_final/session_01/http_s01_r05_deno_c010-autocannon-error.log,
http_s01_r05_node_c010,1,44,5,node,10,1,10,30,10,20260808,2026-08-03T15:00:20.001935+00:00,2026-08-03T15:01:01.566306+00:00,success,17446,0.04,0,1,523355,0,0,0,0,data/raw/http/session_01/http_s01_r05_node_c010.json,results/logs/http_final/session_01/http_s01_r05_node_c010-server-output.log,results/logs/http_final/session_01/http_s01_r05_node_c010-server-error.log,results/logs/http_final/session_01/http_s01_r05_node_c010-autocannon-error.log,
http_s01_r05_deno_c100,1,45,5,deno,100,1,10,30,10,20260808,2026-08-03T15:01:11.580176+00:00,2026-08-03T15:01:53.282285+00:00,success,20411.07,4.5,4,9,612299,0,0,0,0,data/raw/http/session_01/http_s01_r05_deno_c100.json,results/logs/http_final/session_01/http_s01_r05_deno_c100-server-output.log,results/logs/http_final/session_01/http_s01_r05_deno_c100-server-error.log,results/logs/http_final/session_01/http_s01_r05_deno_c100-autocannon-error.log,
http_s02_r06_deno_c100,2,1,6,deno,100,1,10,30,10,20260809,2026-08-03T15:07:33.400715+00:00,2026-08-03T15:08:15.275527+00:00,success,20737.2,4.4,4,9,622113,0,0,0,0,data/raw/http/session_02/http_s02_r06_deno_c100.json,results/logs/http_final/session_02/http_s02_r06_deno_c100-server-output.log,results/logs/http_final/session_02/http_s02_r06_deno_c100-server-error.log,results/logs/http_final/session_02/http_s02_r06_deno_c100-autocannon-error.log,
http_s02_r06_bun_c100,2,2,6,bun,100,1,10,30,10,20260809,2026-08-03T15:08:25.292581+00:00,2026-08-03T15:09:06.982937+00:00,success,17937.6,5.08,5,11,538127,0,0,0,0,data/raw/http/session_02/http_s02_r06_bun_c100.json,results/logs/http_final/session_02/http_s02_r06_bun_c100-server-output.log,results/logs/http_final/session_02/http_s02_r06_bun_c100-server-error.log,results/logs/http_final/session_02/http_s02_r06_bun_c100-autocannon-error.log,
http_s02_r06_node_c100,2,3,6,node,100,1,10,30,10,20260809,2026-08-03T15:09:16.994509+00:00,2026-08-03T15:09:58.778076+00:00,success,16009.87,5.68,5,12,480286,0,0,0,0,data/raw/http/session_02/http_s02_r06_node_c100.json,results/logs/http_final/session_02/http_s02_r06_node_c100-server-output.log,results/logs/http_final/session_02/http_s02_r06_node_c100-server-error.log,results/logs/http_final/session_02/http_s02_r06_node_c100-autocannon-error.log,
http_s02_r06_bun_c050,2,4,6,bun,50,1,10,30,10,20260809,2026-08-03T15:10:08.793434+00:00,2026-08-03T15:10:50.380378+00:00,success,19724.67,2.03,2,5,591735,0,0,0,0,data/raw/http/session_02/http_s02_r06_bun_c050.json,results/logs/http_final/session_02/http_s02_r06_bun_c050-server-output.log,results/logs/http_final/session_02/http_s02_r06_bun_c050-server-error.log,results/logs/http_final/session_02/http_s02_r06_bun_c050-autocannon-error.log,
http_s02_r06_bun_c010,2,5,6,bun,10,1,10,30,10,20260809,2026-08-03T15:11:00.394725+00:00,2026-08-03T15:11:41.954036+00:00,success,18420.67,0.11,0,3,552583,0,0,0,0,data/raw/http/session_02/http_s02_r06_bun_c010.json,results/logs/http_final/session_02/http_s02_r06_bun_c010-server-output.log,results/logs/http_final/session_02/http_s02_r06_bun_c010-server-error.log,results/logs/http_final/session_02/http_s02_r06_bun_c010-autocannon-error.log,
http_s02_r06_deno_c050,2,6,6,deno,50,1,10,30,10,20260809,2026-08-03T15:11:51.967969+00:00,2026-08-03T15:12:33.587332+00:00,success,21345.47,1.83,2,5,640332,0,0,0,0,data/raw/http/session_02/http_s02_r06_deno_c050.json,results/logs/http_final/session_02/http_s02_r06_deno_c050-server-output.log,results/logs/http_final/session_02/http_s02_r06_deno_c050-server-error.log,results/logs/http_final/session_02/http_s02_r06_deno_c050-autocannon-error.log,
http_s02_r06_node_c010,2,7,6,node,10,1,10,30,10,20260809,2026-08-03T15:12:43.600865+00:00,2026-08-03T15:13:26.160488+00:00,success,17129.34,0.05,0,1,513890,0,0,0,0,data/raw/http/session_02/http_s02_r06_node_c010.json,results/logs/http_final/session_02/http_s02_r06_node_c010-server-output.log,results/logs/http_final/session_02/http_s02_r06_node_c010-server-error.log,results/logs/http_final/session_02/http_s02_r06_node_c010-autocannon-error.log,
