run_id,workload,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,cooldown_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p90_latency_ms,p97_5_latency_ms,p99_latency_ms,maximum_latency_ms,total_requests,bytes_per_second,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,warmup_error_log,autocannon_error_log,error_message
http_complex_s01_r03_deno_c100,complex,1,21,3,deno,100,1,10,30,10,10,20260806,2026-08-03T17:17:25.060273+00:00,2026-08-03T17:18:07.723996+00:00,success,17059.07,5.37,4,10,13,15,106,511770,3667831.47,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_deno_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c100-autocannon-error.log,
http_complex_s01_r03_deno_c050,complex,1,22,3,deno,50,1,10,30,10,10,20260806,2026-08-03T17:18:17.730974+00:00,2026-08-03T17:18:59.359950+00:00,success,17799.34,2.33,2,4,5,6,52,533965,3826961.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_deno_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c050-autocannon-error.log,
http_complex_s01_r03_node_c010,complex,1,23,3,node,10,1,10,30,10,10,20260806,2026-08-03T17:19:09.365076+00:00,2026-08-03T17:19:51.944060+00:00,success,12846.6,0.17,0,1,1,1,27,385385,3365632,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_node_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c010-autocannon-error.log,
http_complex_s01_r03_node_c100,complex,1,24,3,node,100,1,10,30,10,10,20260806,2026-08-03T17:20:01.949447+00:00,2026-08-03T17:20:43.657711+00:00,success,11729.8,8.05,7,11,14,17,78,351867,3073041.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_node_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c100-autocannon-error.log,
http_complex_s01_r03_bun_c010,complex,1,25,3,bun,10,1,10,30,10,10,20260806,2026-08-03T17:20:53.664442+00:00,2026-08-03T17:21:35.249713+00:00,success,15229.87,0.16,0,0,3,3,26,456884,3274274.14,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_bun_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c010-autocannon-error.log,
http_complex_s01_r03_bun_c050,complex,1,26,3,bun,50,1,10,30,10,10,20260806,2026-08-03T17:21:45.256028+00:00,2026-08-03T17:22:26.931037+00:00,success,14634.94,3.03,2,5,7,8,71,439057,3146615.47,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_bun_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c050-autocannon-error.log,
http_complex_s01_r03_bun_c100,complex,1,27,3,bun,100,1,10,30,10,10,20260806,2026-08-03T17:22:36.937432+00:00,2026-08-03T17:23:18.612259+00:00,success,14911.2,6.22,6,9,11,13,106,447348,3205956.27,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_bun_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_bun_c100-autocannon-error.log,
http_complex_s01_r04_bun_c050,complex,1,28,4,bun,50,1,10,30,10,10,20260807,2026-08-03T17:23:28.618248+00:00,2026-08-03T17:24:10.250312+00:00,success,14814.47,3,2,5,7,8,290,444443,3185220.27,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_bun_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_bun_c050-autocannon-error.log,
http_complex_s01_r04_deno_c050,complex,1,29,4,deno,50,1,10,30,10,10,20260807,2026-08-03T17:24:20.256288+00:00,2026-08-03T17:25:01.887582+00:00,success,17760.14,2.33,2,4,6,7,48,532809,3818359.47,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_deno_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_deno_c050-autocannon-error.log,
http_complex_s01_r04_node_c050,complex,1,30,4,node,50,1,10,30,10,10,20260807,2026-08-03T17:25:11.895890+00:00,2026-08-03T17:25:54.564961+00:00,success,11764.34,3.77,3,5,7,9,54,352921,3082188.8,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r04_node_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r04_node_c050-autocannon-error.log,
