"run_id","session_id","sequence","repetition","runtime","shuffle_seed","started_at","finished_at","status","startup_time_ns","startup_time_ms","observed_output","program_file","stdout_log","stderr_log","error_message"
"cold_start_s01_r04_node",1,11,4,"node",20260808,"2026-08-04T17:47:03.983714+00:00","2026-08-04T17:47:04.169082+00:00","success",165004900,165.0049,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r04_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r04_node-stderr.log",NA
"cold_start_s01_r04_deno",1,12,4,"deno",20260808,"2026-08-04T17:47:05.175965+00:00","2026-08-04T17:47:05.343591+00:00","success",142202700,142.2027,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r04_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r04_deno-stderr.log",NA
"cold_start_s01_r05_deno",1,13,5,"deno",20260809,"2026-08-04T17:47:06.350021+00:00","2026-08-04T17:47:06.521315+00:00","success",133116500,133.1165,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r05_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r05_deno-stderr.log",NA
"cold_start_s01_r05_bun",1,14,5,"bun",20260809,"2026-08-04T17:47:07.528007+00:00","2026-08-04T17:47:07.735171+00:00","success",188467500,188.4675,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r05_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r05_bun-stderr.log",NA
"cold_start_s01_r05_node",1,15,5,"node",20260809,"2026-08-04T17:47:08.741784+00:00","2026-08-04T17:47:08.908433+00:00","success",147825300,147.8253,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r05_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r05_node-stderr.log",NA
"cold_start_s01_r06_deno",1,16,6,"deno",20260810,"2026-08-04T17:47:09.914741+00:00","2026-08-04T17:47:10.087758+00:00","success",134900000,134.9,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r06_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r06_deno-stderr.log",NA
"cold_start_s01_r06_node",1,17,6,"node",20260810,"2026-08-04T17:47:11.093775+00:00","2026-08-04T17:47:11.275266+00:00","success",163382900,163.3829,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r06_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r06_node-stderr.log",NA
"cold_start_s01_r06_bun",1,18,6,"bun",20260810,"2026-08-04T17:47:12.281809+00:00","2026-08-04T17:47:12.486148+00:00","success",184229100,184.2291,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r06_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r06_bun-stderr.log",NA
"cold_start_s01_r07_bun",1,19,7,"bun",20260811,"2026-08-04T17:47:13.491745+00:00","2026-08-04T17:47:13.696599+00:00","success",184630200,184.6302,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r07_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r07_bun-stderr.log",NA
"cold_start_s01_r07_deno",1,20,7,"deno",20260811,"2026-08-04T17:47:14.702401+00:00","2026-08-04T17:47:14.877165+00:00","success",138550000,138.55,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r07_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r07_deno-stderr.log",NA
"cold_start_s01_r07_node",1,21,7,"node",20260811,"2026-08-04T17:47:15.884452+00:00","2026-08-04T17:47:16.072070+00:00","success",166442900,166.4429,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r07_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r07_node-stderr.log",NA
"cold_start_s01_r08_bun",1,22,8,"bun",20260812,"2026-08-04T17:47:17.082553+00:00","2026-08-04T17:47:17.291078+00:00","success",187110800,187.1108,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r08_bun-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r08_bun-stderr.log",NA
"cold_start_s01_r08_deno",1,23,8,"deno",20260812,"2026-08-04T17:47:18.301805+00:00","2026-08-04T17:47:18.458079+00:00","success",133554500,133.5545,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r08_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r08_deno-stderr.log",NA
"cold_start_s01_r08_node",1,24,8,"node",20260812,"2026-08-04T17:47:19.465388+00:00","2026-08-04T17:47:19.678161+00:00","success",192061900,192.0619,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r08_node-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r08_node-stderr.log",NA
"cold_start_s01_r09_deno",1,25,9,"deno",20260813,"2026-08-04T17:47:20.687980+00:00","2026-08-04T17:47:20.855068+00:00","success",130100100,130.1001,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_01/cold_start_s01_r09_deno-stdout.log","results/logs/cold_start_final/session_01/cold_start_s01_r09_deno-stderr.log",NA
