run_id,session_id,sequence,repetition,runtime,operation,shuffle_seed,started_at,finished_at,status,bytes,duration_ms,mib_per_second,command_wall_time_ms,exit_code,output_file_validated,output_file_removed,result_file,benchmark_program,temporary_output_file,stdout_log,stderr_log,error_message
file_io_s01_r01_bun_write,1,1,1,bun,write,20260807,2026-08-06T16:03:51.622077+00:00,2026-08-06T16:03:53.530893+00:00,success,104857600,1090.3109000000002,91.7169588967697,1892.4078,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_bun_write.bin,results/logs/file_io_final/session_01/file_io_s01_r01_bun_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_bun_write-stderr.log,
file_io_s01_r01_deno_write,1,2,1,deno,write,20260807,2026-08-06T16:03:58.565359+00:00,2026-08-06T16:03:59.949682+00:00,success,104857600,1085.3985,92.13206025252477,1370.4829,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_deno_write.bin,results/logs/file_io_final/session_01/file_io_s01_r01_deno_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_deno_write-stderr.log,
file_io_s01_r01_node_write,1,3,1,node,write,20260807,2026-08-06T16:04:04.997351+00:00,2026-08-06T16:04:05.315070+00:00,success,104857600,66.65020000000001,1500.3705915361093,304.0358,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_node_write.bin,results/logs/file_io_final/session_01/file_io_s01_r01_node_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_node_write-stderr.log,
file_io_s01_r01_deno_read,1,4,1,deno,read,20260807,2026-08-06T16:04:10.329515+00:00,2026-08-06T16:04:10.730529+00:00,success,104857600,137.4514,727.5298760143585,400.5573,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_deno_read.bin,results/logs/file_io_final/session_01/file_io_s01_r01_deno_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_deno_read-stderr.log,
file_io_s01_r01_bun_read,1,5,1,bun,read,20260807,2026-08-06T16:04:15.746021+00:00,2026-08-06T16:04:16.131614+00:00,success,104857600,103.53970000000001,965.8131132309635,385.2147,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_bun_read.bin,results/logs/file_io_final/session_01/file_io_s01_r01_bun_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_bun_read-stderr.log,
file_io_s01_r01_node_read,1,6,1,node,read,20260807,2026-08-06T16:04:21.143693+00:00,2026-08-06T16:04:21.478792+00:00,success,104857600,88.2447,1133.2125328773286,334.662,0,True,True,data/raw/file_io/session_01/file_io_s01_r01_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r01_node_read.bin,results/logs/file_io_final/session_01/file_io_s01_r01_node_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r01_node_read-stderr.log,
file_io_s01_r02_bun_read,1,7,2,bun,read,20260808,2026-08-06T16:04:26.492670+00:00,2026-08-06T16:04:26.885366+00:00,success,104857600,105.5258,947.6355545278974,392.2433,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_bun_read.bin,results/logs/file_io_final/session_01/file_io_s01_r02_bun_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_bun_read-stderr.log,
file_io_s01_r02_bun_write,1,8,2,bun,write,20260808,2026-08-06T16:04:31.902048+00:00,2026-08-06T16:04:33.269735+00:00,success,104857600,1062.5037,94.11731930909983,1355.3915,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_bun_write.bin,results/logs/file_io_final/session_01/file_io_s01_r02_bun_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_bun_write-stderr.log,
file_io_s01_r02_node_write,1,9,2,node,write,20260808,2026-08-06T16:04:38.280988+00:00,2026-08-06T16:04:38.591456+00:00,success,104857600,65.12440000000001,1535.52278408707,298.61,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_node_write.bin,results/logs/file_io_final/session_01/file_io_s01_r02_node_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_node_write-stderr.log,
file_io_s01_r02_node_read,1,10,2,node,read,20260808,2026-08-06T16:04:43.603083+00:00,2026-08-06T16:04:43.925204+00:00,success,104857600,82.11699999999999,1217.7746386253762,321.6435,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_node_read.bin,results/logs/file_io_final/session_01/file_io_s01_r02_node_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_node_read-stderr.log,
file_io_s01_r02_deno_read,1,11,2,deno,read,20260808,2026-08-06T16:04:48.939332+00:00,2026-08-06T16:04:49.340767+00:00,success,104857600,139.4496,717.1049612189637,400.9748,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_deno_read.bin,results/logs/file_io_final/session_01/file_io_s01_r02_deno_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_deno_read-stderr.log,
file_io_s01_r02_deno_write,1,12,2,deno,write,20260808,2026-08-06T16:04:54.369770+00:00,2026-08-06T16:04:55.706518+00:00,success,104857600,1072.2432000000001,93.26242404708184,1321.7642,0,True,True,data/raw/file_io/session_01/file_io_s01_r02_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r02_deno_write.bin,results/logs/file_io_final/session_01/file_io_s01_r02_deno_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r02_deno_write-stderr.log,
file_io_s01_r03_bun_read,1,13,3,bun,read,20260809,2026-08-06T16:05:00.721738+00:00,2026-08-06T16:05:01.114618+00:00,success,104857600,107.76670000000001,927.9304274882685,392.4223,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_bun_read.bin,results/logs/file_io_final/session_01/file_io_s01_r03_bun_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_bun_read-stderr.log,
file_io_s01_r03_node_write,1,14,3,node,write,20260809,2026-08-06T16:05:06.127288+00:00,2026-08-06T16:05:06.426143+00:00,success,104857600,58.308400000000006,1715.0187623052595,286.6834,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_node_write.bin,results/logs/file_io_final/session_01/file_io_s01_r03_node_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_node_write-stderr.log,
file_io_s01_r03_deno_read,1,15,3,deno,read,20260809,2026-08-06T16:05:11.441624+00:00,2026-08-06T16:05:11.846220+00:00,success,104857600,136.3597,733.3545028333151,404.2576,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_deno_read.bin,results/logs/file_io_final/session_01/file_io_s01_r03_deno_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_deno_read-stderr.log,
file_io_s01_r03_deno_write,1,16,3,deno,write,20260809,2026-08-06T16:05:16.861982+00:00,2026-08-06T16:05:18.178787+00:00,success,104857600,1059.0247,94.42650393328881,1304.6763,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_deno_write.bin,results/logs/file_io_final/session_01/file_io_s01_r03_deno_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_deno_write-stderr.log,
file_io_s01_r03_bun_write,1,17,3,bun,write,20260809,2026-08-06T16:05:23.193797+00:00,2026-08-06T16:05:24.556998+00:00,success,104857600,1066.1971,93.79128868386529,1350.158,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_bun_write.bin,results/logs/file_io_final/session_01/file_io_s01_r03_bun_write-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_bun_write-stderr.log,
file_io_s01_r03_node_read,1,18,3,node,read,20260809,2026-08-06T16:05:29.569563+00:00,2026-08-06T16:05:29.906472+00:00,success,104857600,87.68890000000002,1140.3951925500262,336.4263,0,True,True,data/raw/file_io/session_01/file_io_s01_r03_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s01_r03_node_read.bin,results/logs/file_io_final/session_01/file_io_s01_r03_node_read-stdout.log,results/logs/file_io_final/session_01/file_io_s01_r03_node_read-stderr.log,
