"run_id","session_id","sequence","repetition","runtime","workload","shuffle_seed","started_at","ready_at","finished_at","status","allocation_bytes","sample_interval_ms","post_ready_window_ms","pre_ready_samples","post_ready_samples","rss_at_ready_bytes","rss_at_ready_mib","median_post_ready_rss_bytes","median_post_ready_rss_mib","mean_post_ready_rss_bytes","mean_post_ready_rss_mib","peak_post_ready_rss_bytes","peak_post_ready_rss_mib","peak_observed_rss_bytes","peak_observed_rss_mib","ready_payload","sample_file","stdout_log","stderr_log","error_message"
"memory_s02_r12_bun_allocated",2,7,12,"bun","allocated",20260822,"2026-08-10T19:37:18.593779+00:00","2026-08-10T19:37:18.745215+00:00","2026-08-10T19:37:20.774005+00:00","success",104857600,20,2000,7,87,163483648,155.91015625,163586048,156.0078125,163583129.011494,156.005028735632,163602432,156.0234375,163602432,156.0234375,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r12_bun_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_bun_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_bun_allocated-stderr.log",NA
"memory_s02_r12_deno_allocated",2,8,12,"deno","allocated",20260822,"2026-08-10T19:37:22.806130+00:00","2026-08-10T19:37:23.019733+00:00","2026-08-10T19:37:25.049343+00:00","success",104857600,20,2000,9,87,149909504,142.96484375,149909504,142.96484375,149909504,142.96484375,149909504,142.96484375,149909504,142.96484375,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r12_deno_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_deno_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_deno_allocated-stderr.log",NA
"memory_s02_r12_bun_idle",2,9,12,"bun","idle",20260822,"2026-08-10T19:37:27.069452+00:00","2026-08-10T19:37:27.210468+00:00","2026-08-10T19:37:29.224100+00:00","success",0,20,2000,6,86,58613760,55.8984375,58630144,55.9140625,58630763.1627907,55.9146529796512,58662912,55.9453125,58662912,55.9453125,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r12_bun_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_bun_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_bun_idle-stderr.log",NA
"memory_s02_r12_node_allocated",2,10,12,"node","allocated",20260822,"2026-08-10T19:37:31.240523+00:00","2026-08-10T19:37:31.490024+00:00","2026-08-10T19:37:33.513002+00:00","success",104857600,20,2000,9,86,143925248,137.2578125,143925248,137.2578125,143925248,137.2578125,143925248,137.2578125,143925248,137.2578125,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r12_node_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_node_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_node_allocated-stderr.log",NA
"memory_s02_r12_node_idle",2,11,12,"node","idle",20260822,"2026-08-10T19:37:35.530486+00:00","2026-08-10T19:37:35.668551+00:00","2026-08-10T19:37:37.683769+00:00","success",0,20,2000,6,87,38563840,36.77734375,38563840,36.77734375,38563840,36.77734375,38563840,36.77734375,38563840,36.77734375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r12_node_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_node_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_node_idle-stderr.log",NA
"memory_s02_r12_deno_idle",2,12,12,"deno","idle",20260822,"2026-08-10T19:37:39.701984+00:00","2026-08-10T19:37:39.842225+00:00","2026-08-10T19:37:41.851012+00:00","success",0,20,2000,6,86,44486656,42.42578125,44486656,42.42578125,44486656,42.42578125,44486656,42.42578125,44486656,42.42578125,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r12_deno_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r12_deno_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r12_deno_idle-stderr.log",NA
"memory_s02_r13_bun_idle",2,13,13,"bun","idle",20260823,"2026-08-10T19:37:43.873202+00:00","2026-08-10T19:37:44.007292+00:00","2026-08-10T19:37:46.032768+00:00","success",0,20,2000,6,86,58617856,55.90234375,58638336,55.921875,58637621.5813954,55.9211936773256,58667008,55.94921875,58667008,55.94921875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r13_bun_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_bun_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_bun_idle-stderr.log",NA
"memory_s02_r13_node_idle",2,14,13,"node","idle",20260823,"2026-08-10T19:37:48.049130+00:00","2026-08-10T19:37:48.189724+00:00","2026-08-10T19:37:50.203305+00:00","success",0,20,2000,6,86,38502400,36.71875,38502400,36.71875,38502400,36.71875,38502400,36.71875,38502400,36.71875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r13_node_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_node_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_node_idle-stderr.log",NA
"memory_s02_r13_deno_idle",2,15,13,"deno","idle",20260823,"2026-08-10T19:37:52.221821+00:00","2026-08-10T19:37:52.331888+00:00","2026-08-10T19:37:54.345422+00:00","success",0,20,2000,5,87,44453888,42.39453125,44453888,42.39453125,44453888,42.39453125,44453888,42.39453125,44453888,42.39453125,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r13_deno_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_deno_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_deno_idle-stderr.log",NA
"memory_s02_r13_node_allocated",2,16,13,"node","allocated",20260823,"2026-08-10T19:37:56.367041+00:00","2026-08-10T19:37:56.643679+00:00","2026-08-10T19:37:58.676615+00:00","success",104857600,20,2000,11,88,143945728,137.27734375,143945728,137.27734375,143945728,137.27734375,143945728,137.27734375,143945728,137.27734375,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r13_node_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_node_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_node_allocated-stderr.log",NA
"memory_s02_r13_bun_allocated",2,17,13,"bun","allocated",20260823,"2026-08-10T19:38:00.694978+00:00","2026-08-10T19:38:00.855333+00:00","2026-08-10T19:38:02.888277+00:00","success",104857600,20,2000,7,86,163520512,155.9453125,163573760,155.99609375,163571330.976744,155.993777252907,163577856,156,163577856,156,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r13_bun_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_bun_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_bun_allocated-stderr.log",NA
"memory_s02_r13_deno_allocated",2,18,13,"deno","allocated",20260823,"2026-08-10T19:38:04.932508+00:00","2026-08-10T19:38:05.172277+00:00","2026-08-10T19:38:07.193413+00:00","success",104857600,20,2000,10,86,149839872,142.8984375,149839872,142.8984375,149839872,142.8984375,149839872,142.8984375,149839872,142.8984375,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r13_deno_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r13_deno_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r13_deno_allocated-stderr.log",NA
"memory_s02_r14_deno_idle",2,19,14,"deno","idle",20260824,"2026-08-10T19:38:09.215880+00:00","2026-08-10T19:38:09.334639+00:00","2026-08-10T19:38:11.350167+00:00","success",0,20,2000,5,86,44199936,42.15234375,44199936,42.15234375,44199936,42.15234375,44199936,42.15234375,44199936,42.15234375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r14_deno_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r14_deno_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r14_deno_idle-stderr.log",NA
"memory_s02_r14_deno_allocated",2,20,14,"deno","allocated",20260824,"2026-08-10T19:38:13.370283+00:00","2026-08-10T19:38:13.587935+00:00","2026-08-10T19:38:15.620633+00:00","success",104857600,20,2000,9,86,149913600,142.96875,149913600,142.96875,149913600,142.96875,149913600,142.96875,149913600,142.96875,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r14_deno_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r14_deno_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r14_deno_allocated-stderr.log",NA
